Symbol,Date,Open,High,Low,Close,Percent Change,Volume
PCBL,6/13/2024,206,206,200.3,201.9,-0.0151,"38,988.00"
PCBL,6/12/2024,203,210,200,205,0.0099,"85,425.00"
PCBL,6/11/2024,201.7,203,196.1,203,0.0263,"51,029.00"
PCBL,6/10/2024,202.8,202.8,197,197.8,-0.0055,"49,279.00"
PCBL,6/9/2024,204,204,198,198.9,-0.0055,"31,290.00"
PCBL,6/6/2024,198,201.3,198,200,0.005,"58,157.00"
PCBL,6/5/2024,201.1,201.1,199,199,-0.0158,"39,827.00"
PCBL,6/4/2024,200.1,202.2,200,202.2,0.0105,"48,031.00"
PCBL,6/3/2024,204,204,199,200.1,-0.0079,"80,888.00"
PCBL,6/2/2024,198.4,202,198.4,201.7,0.0075,"35,246.00"
PCBL,5/30/2024,205,205,200,200.2,-0.0186,"58,976.00"
PCBL,5/29/2024,213.1,216,204,204,-0.0239,"121,252.00"
PCBL,5/27/2024,212.5,212.5,208,209,-0.0146,"108,465.00"
PCBL,5/26/2024,215,217,209,212.1,-0.0038,"173,416.00"
PCBL,5/22/2024,206.9,216,204,212.9,0.0285,"236,179.00"
PCBL,5/21/2024,208,210,205,207,0.0053,"96,136.00"
PCBL,5/20/2024,200,218,199.4,205.9,0.0378,"224,862.00"
PCBL,5/19/2024,198.7,200,195.1,198.4,0.018,"82,005.00"
PCBL,5/16/2024,199.8,199.8,193.3,194.9,-0.0051,"61,989.00"
PCBL,5/15/2024,194,200,194,195.9,-0.0101,"38,428.00"
PCBL,5/14/2024,193.1,201,193.1,197.9,0.0046,"71,915.00"
PCBL,5/13/2024,190.9,202.8,190.9,197,0.0207,"100,285.00"
PCBL,5/12/2024,194.8,194.8,190.1,193,0.0105,"35,760.00"
PCBL,5/9/2024,189,192,189,191,-0.0052,"22,547.00"
PCBL,5/8/2024,189,192.7,189,192,0.0063,"33,374.00"
PCBL,5/7/2024,189,191.8,188.3,190.8,0.0058,"17,988.00"
PCBL,5/6/2024,190,191.8,189,189.7,-0.0161,"23,554.00"
PCBL,5/5/2024,192.3,193,189.1,192.8,-0.001,"59,845.00"
PCBL,5/2/2024,199.2,199.2,191.4,193,-0.0118,"45,475.00"
PCBL,4/30/2024,198.3,198.3,194.4,195.3,0.0041,"54,627.00"
PCBL,4/29/2024,197.8,197.8,191,194.5,0.0026,"23,275.00"
PCBL,4/28/2024,199.2,199.2,192,194,-0.0067,"48,184.00"
PCBL,4/25/2024,194,195.5,193.4,195.3,0.0093,"44,570.00"
PCBL,4/24/2024,192,194.9,192,193.5,0.0083,"23,293.00"
PCBL,4/22/2024,195.5,197,190.5,191.9,0.0005,"74,562.00"
PCBL,4/21/2024,189,191.9,187.6,191.8,0.0159,"93,050.00"
PCBL,4/18/2024,190,190,187.2,188.8,-0.0063,"30,041.00"
PCBL,4/16/2024,189.2,191,186.9,190,-0.0037,"40,914.00"
PCBL,4/15/2024,193.7,194,189.9,190.7,-0.0114,"44,169.00"
PCBL,4/14/2024,192.8,193.7,190.2,192.9,0.0153,"83,041.00"
PCBL,4/10/2024,190,192.7,188.8,190,0.0005,"149,139.00"
PCBL,4/9/2024,190,192.7,187.2,189.9,-0.0005,"157,645.00"
PCBL,4/7/2024,188.9,190,186,190,0.0058,"92,205.00"
PCBL,4/4/2024,186.5,189,186,188.9,-0.0005,"56,740.00"
PCBL,4/3/2024,193.6,193.6,187.6,189,-0.0047,"37,825.00"
PCBL,4/2/2024,188,191.5,188,189.9,-0.0099,"70,247.00"
PCBL,4/1/2024,193,193,189,191.8,-0.0108,"40,916.00"
PCBL,3/31/2024,196,196,190,193.9,0.0052,"34,351.00"
PCBL,3/28/2024,188.2,193,188.2,192.9,0.0078,"30,210.00"
PCBL,3/27/2024,192,192,189.4,191.4,-0.0083,"74,803.00"
PCBL,3/26/2024,191.5,194.9,191.3,193,0,"49,926.00"
PCBL,3/25/2024,196,196,191.5,193,-0.0148,"33,302.00"
PCBL,3/21/2024,196,196.7,193.6,195.9,0,"47,460.00"
PCBL,3/20/2024,200.9,200.9,195.1,195.9,-0.0056,"45,323.00"
PCBL,3/19/2024,198,200,195.1,197,-0.0096,"29,968.00"
PCBL,3/18/2024,198,199,194.1,198.9,0.0045,"67,795.00"
PCBL,3/17/2024,199,199.9,196,198,-0.0005,"26,373.00"
PCBL,3/14/2024,200,201,198,198.1,-0.0134,"37,556.00"
PCBL,3/13/2024,199,204.7,198,200.8,-0.0005,"63,033.00"
PCBL,3/12/2024,195,200.9,195,200.9,0.0303,"46,529.00"
PCBL,3/10/2024,196.6,199.9,193.1,195,0.0114,"43,012.00"
PCBL,3/7/2024,193,193.2,190.2,192.8,0.0042,"44,273.00"
PCBL,3/6/2024,192.4,194,186.3,192,-0.0021,"72,958.00"
PCBL,3/5/2024,199,199,189.1,192.4,-0.0179,"56,868.00"
PCBL,3/4/2024,192.6,196,190,195.9,0.0371,"4,490.00"
PCBL,3/3/2024,190.1,190.1,186,188.9,-0.0058,"42,333.00"
PCBL,2/29/2024,189.1,192,189,190,0,"38,926.00"
PCBL,2/28/2024,192,193.6,189.7,190,-0.0135,"44,139.00"
PCBL,2/27/2024,193.1,194,191.7,192.6,-0.0026,"35,432.00"
PCBL,2/26/2024,193,196,191.1,193.1,-0.0026,"25,343.00"
PCBL,2/25/2024,197,199,193.6,193.6,-0.0173,"34,448.00"
PCBL,2/22/2024,194.1,197.9,194.1,197,-0.004,"61,988.00"
PCBL,2/21/2024,201,201,196.6,197.8,-0.0055,"30,078.00"
PCBL,2/20/2024,199,200,198,198.9,-0.0055,"36,650.00"
PCBL,2/18/2024,200,201.9,199,200,-0.0099,"29,920.00"
PCBL,2/15/2024,200,202,199.4,202,0.0025,"48,390.00"
PCBL,2/14/2024,200,202.1,199.6,201.5,-0.003,"27,797.00"
PCBL,2/13/2024,200,202.3,200,202.1,-0.002,"44,433.00"
PCBL,2/12/2024,203,203.8,201.1,202.5,-0.0107,"47,185.00"
PCBL,2/11/2024,208,208,202.1,204.7,0.001,"51,568.00"
PCBL,2/8/2024,201,205,201,204.5,0.0074,"34,818.00"
PCBL,2/7/2024,208,208,200,203,-0.0049,"41,433.00"
PCBL,2/6/2024,199.1,205,199.1,204,0.0149,"57,205.00"
PCBL,2/5/2024,200,203,198,201,-0.0015,"39,920.00"
PCBL,2/4/2024,201,203.9,199,201.3,0,"62,821.00"
PCBL,2/1/2024,205,205,201,201.3,-0.018,"39,960.00"
PCBL,1/31/2024,203.5,207.8,203.5,205,-0.0116,"101,547.00"
PCBL,1/30/2024,206,209,204,207.4,0,"112,210.00"
PCBL,1/29/2024,210,210,206.7,207.4,-0.0072,"85,710.00"
PCBL,1/28/2024,209.4,212,208,208.9,-0.0024,"61,070.00"
PCBL,1/25/2024,209.9,209.9,206,209.4,0.0072,"53,900.00"
