Symbol,Date,Open,High,Low,Close,Percent Change,Volume
AKPL,22/03/2023,415,415,402,403,-2.42,70504
AKPL,20/03/2023,404,415,404,413,1.47,82605
AKPL,19/03/2023,405,408,404,407,0.49,32169
AKPL,16/03/2023,406,409.5,403.1,405,-0.49,40465
AKPL,15/03/2024,405,413,402.1,407,-0.49,46051
AKPL,14/03/2023,411,412,403.1,409,0.52,52507
AKPL,13/03/2023,411,412.5,404.1,406.9,-0.51,32731
AKPL,12/3/2023,419,422,408.4,409,-1.64,82230
AKPL,9/3/2023,402.2,418,399,415.8,5.19,116744
AKPL,7/3/2023,387.1,395.4,387,395.3,1.36,37715
AKPL,5/3/2023,395,397,390,390,-1.02,32573
AKPL,2/3/2023,397,400,393,394,-0.76,46273
AKPL,1/3/2023,404.9,404.9,395,397,-0.5,32350
AKPL,28/02/2023,395,405.8,395,399,0.25,38734
AKPL,27/02/2023,407,407,392.9,398,-1,49443
AKPL,26/02/2023,392,402.5,385,402,0.5,82819
AKPL,23/02/2023,403.1,409,398,400,-2.56,64393
AKPL,22/02/2023,401,411,401,410.5,2.39,42277
AKPL,20/02/2023,401,407,397.5,400.9,-0.52,52413
AKPL,16/02/2023,413,413,402.2,403,-2.42,47463
AKPL,15/02/2023,404,418,401,413,2.99,134419
AKPL,15/02/2023,404,418,401,413,2.99,134419
AKPL,14/02/2023,403,408,397,401,-0.5,57366
AKPL,12/2/2023,414,415,401,403,-4.5,72084
AKPL,9/2/2023,425,425,410,422,0.96,57065
AKPL,8/2/2023,428,428,413,418,-0.95,95101
AKPL,7/2/2023,404,422.5,402.1,422,5.5,115773
AKPL,6/2/2023,400,405,397,400,0,25421
AKPL,5/2/2023,401.5,406,398,400,-0.25,52635
AKPL,2/2/2023,407,408.8,395,401,-1.47,65647
AKPL,1/2/2023,408,410,405,407,-0.25,23898
AKPL,31/01/2023,404.6,413.9,404,408,-0.49,74390
AKPL,30/01/2023,416.1,420,408,410,-2.38,93110
AKPL,29/01/2023,423,428,416.3,420,-1.64,76745
AKPL,26/01/2023,426,428.8,420,427,0.71,110325
AKPL,25/01/2023,418,430,410,424,3.16,98342
AKPL,24/01/2023,411,417,404,411,-0.48,64201
AKPL,23/01/2023,425,426.1,410,413,-1.9,71364
AKPL,19/01/2023,421,429.4,417.5,421,-0.24,60671
AKPL,18/01/2023,426,440,415,422,0.24,196928
AKPL,17/01/2023,399.9,426,399.9,421,3.19,96215
AKPL,12/1/2023,432.4,441,407,408,-3.77,191415
AKPL,10/1/2023,438,460.9,420.1,424,-2.51,300480
AKPL,9/1/2023,416,439,415,434.9,4.29,139025
AKPL,8/1/2023,415,422,404,417,1.46,160826
AKPL,5/1/2023,412,421,400,411,1.73,134613
AKPL,4/1/2023,397,405,389,404,3.06,89972
AKPL,3/1/2023,396,400,387.1,392,-0.76,71676
AKPL,2/1/2023,381,397,375,395,1.8,75575
AKPL,1/1/2023,386,402,373,388,2.37,117367
AKPL,29/12/2022,360,380,360,379,5.28,96450
AKPL,28/12/2022,365,371,353,360,-1.37,70940
AKPL,27/12/2022,357.9,372,354.1,365,3.69,96306
AKPL,26/12/2022,334,352,329,352,7.48,43692
AKPL,22/12/2022,331,331,325,327.5,-1.36,22264
AKPL,21/12/2022,330,332.4,330,332,-0.03,7440
AKPL,20/12/2022,337,337,328.5,332.1,0.18,10236
AKPL,19/12/2022,335.8,335.8,330,331.5,-0.15,11225
AKPL,18/12/2022,341,341,332,332,-2.64,25745
AKPL,15/12/2022,340.3,344.6,340,341,-0.58,18122
AKPL,14/12/2022,342.1,346.7,342.1,343,0,15365
AKPL,13/12/2022,345,350,343,343,-2.28,19850
AKPL,12/12/2022,342.2,351,340.3,351,2.57,28871
AKPL,11/12/2022,343.2,345.1,340,342.2,-1.61,21248
AKPL,7/12/2022,349.1,349.1,342.5,347.8,0.52,16147
AKPL,6/12/2022,350,351,345.3,346,-1.14,16218
AKPL,5/12/2022,357,358,348.1,350,-1.96,25870
AKPL,4/12/2022,355.5,360,353,357,0.42,30328
AKPL,1/12/2022,355,359,353.1,355.5,-0.7,30097
AKPL,30/11/2022,360,360,353,358,0.03,17620
AKPL,29/11/2022,352.1,359.9,350,357.9,0.25,12677
AKPL,28/11/2022,362,365.9,350,357,-1.11,37033
AKPL,27/11/2022,358,362,352.1,361,2.56,29083
AKPL,24/11/2022,350,354.9,347.2,352,-0.28,20132
AKPL,23/11/2022,355,358,348.5,353,0,27597
AKPL,22/11/2022,358,367.2,352.1,353,0,42992
AKPL,17/11/2022,354,361,351,353,1.15,53334
AKPL,16/11/2022,352,353,345,349,0.61,24371
AKPL,15/11/2022,350,357,342,346.9,-0.89,24851
AKPL,14/11/2022,343.1,353.9,343,350,0.86,12106
AKPL,13/11/2022,346.1,357,342.1,347,-1.56,23718
AKPL,10/11/2022,363,366,352,352.5,-1.54,32764
AKPL,9/11/2022,368.1,371,358,358,-2.98,43346
AKPL,8/11/2022,376,376.8,368,369,-1.57,22420
AKPL,7/11/2022,380,384,373,374.9,-0.82,61034
AKPL,6/11/2022,363,382,360,378,4.21,55169
AKPL,3/11/2022,407,414,397,399,-2.18,85959
AKPL,2/11/2022,405,410,393,407.9,2.72,84395
AKPL,1/11/2022,382,399.7,378,397.1,5.05,36958
AKPL,31/10/2022,378,385,377,378,1.07,36557
AKPL,23/10/2022,366,376,366,374,0.54,18480
AKPL,20/10/2022,370.5,375,367,372,0.27,22225
AKPL,19/10/2022,381,381,370,371,-1.9,30861
AKPL,17/10/2022,377,385,377,378.2,-0.99,16226
AKPL,16/10/2022,388,388,378.3,382,-1.8,41920
AKPL,13/10/2022,385,392,383,389,0.31,51464
AKPL,12/10/2022,375,385.3,373,382.5,1.76,32624
AKPL,11/10/2022,380,380,370.2,375.9,-0.03,19429
AKPL,10/10/2022,392,393,375,376,-2.84,30506
AKPL,9/10/2022,382,388,378.1,387,2.52,37233
AKPL,29/09/2022,377,380,375,377.5,0.77,29056
AKPL,28/09/2022,380.6,382.5,374,374.6,0.38,16118
AKPL,27/09/2022,374,385.9,370.6,373.2,0.59,41674
AKPL,25/09/2022,382,383,369.9,371,-3.64,59507
AKPL,22/09/2022,396,397,384,385,-2.53,39424
AKPL,21/09/2022,399.8,401,392.1,395,0.51,25936
AKPL,20/09/2022,406,409.3,392,393,-2.6,82173
AKPL,18/09/2022,416,419,403,403.5,-3.21,52299
AKPL,16/09/2022,415,420,405.1,416.9,-0.95,62353
AKPL,15/09/2022,440,442,420.1,420.9,-4.95,113030
AKPL,14/09/2022,426,443,426,442.8,4.43,64052
AKPL,13/09/2022,421,429,415.6,424,0.71,88463
AKPL,12/9/2022,424,427,418,421,-1.84,44745
AKPL,11/9/2022,434,438.9,427,428.9,-1.18,23035
AKPL,8/9/2022,437,440,427,434,0.23,27822
AKPL,7/9/2022,436,437,430.5,433,-0.53,24179
AKPL,6/9/2022,442,443,435,435.3,-1.52,37779
AKPL,5/9/2022,452,454,441,442,-1.36,27254
AKPL,4/9/2022,459,459,448,448.1,-0.42,45296
AKPL,2/9/2022,444,450,439,450,1.58,55611
AKPL,1/9/2022,439,447,433.1,443,0.25,87080
AKPL,31/08/2022,455,455,441,441.9,-1.87,60243
AKPL,30/08/2022,462,463,450.3,450.3,-2.11,34704
AKPL,29/08/2022,473.2,473.2,453.8,460,-0.86,109191
AKPL,28/08/2022,463,478,461,464,-1.28,221324
AKPL,26/08/2022,475,478,467.1,470,0,100563
AKPL,25/08/2022,490,492.6,470,470,-2.69,150997
AKPL,24/08/2022,459.9,485,459,483,5.25,353606
AKPL,23/08/2022,457,459,450,458.9,1.08,53955
AKPL,22/08/2022,455.1,457,446.1,454,-0.22,54214
AKPL,21/08/2022,465,465,453,455,-0.66,69966
AKPL,18/08/2022,448,469,448,458,2.46,120670
AKPL,17/08/2022,451.9,455,442.9,447,0.88,51450
AKPL,16/08/2022,462.9,467,443.1,443.1,-2.38,88768
AKPL,15/08/2022,430,453.9,430,453.9,5.56,90311
AKPL,14/08/2022,436.5,444,428.2,430,-1.85,53811
AKPL,11/8/2022,450,453.9,438,438.1,-1.55,76863
AKPL,10/8/2022,455,459,443,445,-1.11,74541
AKPL,9/8/2022,468,468.9,447.9,450,-4.05,125829
AKPL,8/8/2022,479,483,468,469,-1.26,80033
AKPL,7/8/2022,472.1,484,471,475,0,81241
AKPL,5/8/2022,480,487.9,471,475,-1.04,117525
AKPL,4/8/2022,500,500,480,480,-2.81,125385
AKPL,3/8/2022,493.5,504,493,493.9,0.37,131928
AKPL,2/8/2022,495,497,487.1,492.1,0.43,82590
AKPL,1/8/2022,499,506,487,490,-0.31,144073
AKPL,31/07/2022,500,503,488,491.5,-0.71,142444
AKPL,29/07/2022,500,503,492,495,-1,82852
AKPL,28/07/2022,513,519,488,500,-2.31,354977
AKPL,27/07/2022,487,513.9,485,511.8,3.41,246815
AKPL,26/07/2022,505,510,488,494.9,-1.02,310713
AKPL,25/07/2022,470,507,466.1,500,6.41,299727
AKPL,24/07/2022,457,469.9,447.9,469.9,4.77,134209
AKPL,22/07/2022,457,461,446,448.5,-1.86,75883
AKPL,21/07/2022,470,470,456,457,-1.93,58750
AKPL,20/07/2022,470,474,461,466,-0.43,90609
AKPL,19/07/2022,464.9,474.9,461,468,1.28,126852
AKPL,18/07/2022,464.9,466,456.3,462.1,-0.62,41399
AKPL,17/07/2022,463,469,450.1,465,1.31,100519
AKPL,15/07/2022,468,468,450,459,-0.52,94823
AKPL,14/07/2022,474,477.9,454.2,461.4,-1.81,114589
AKPL,13/07/2022,455,471,450,469.9,3.96,139532
AKPL,12/7/2022,434,453.9,425,452,5.85,179993
AKPL,11/7/2022,445,445,427,427,-5.74,137285
AKPL,8/7/2022,478.3,478.3,452,453,-3.41,82569
AKPL,7/7/2022,487.5,490,466.5,469,-1.88,132435
AKPL,6/7/2022,487.5,487.5,465.1,478,0,132933
AKPL,5/7/2022,464,484.5,452,478,3.24,249824
AKPL,4/7/2022,468,484,453.1,463,0.89,250633
AKPL,3/7/2022,439,467,431,458.9,4.53,133229
AKPL,1/7/2022,456,456,437.3,439,-2.01,56615
AKPL,30/06/2022,436,452.8,425,448,4.43,131489
AKPL,29/06/2022,410,432.9,400,429,5.85,94326
AKPL,28/06/2022,410,416,403,405.3,-1.86,35787
AKPL,27/06/2022,431.1,437,412,413,-3.73,103544
AKPL,26/06/2022,397,429.9,394,429,9.72,96853
AKPL,24/06/2022,375.1,401,369.2,391,2.36,50856
AKPL,23/06/2022,392,398,378.5,382,-4.5,79456
AKPL,22/06/2022,410,411,397,400,-2.44,33105
AKPL,21/06/2022,396,420,395,410,1.76,45438
AKPL,20/06/2022,414,414,400,402.9,-3.82,96069
AKPL,19/06/2022,432,437.9,416,418.9,-3.01,44746
AKPL,17/06/2022,442,442,430,431.9,-1.17,17059
AKPL,16/06/2022,435.5,444,421,437,2.34,55236
AKPL,15/06/2022,445.8,445.8,423,427,-2.31,58782
AKPL,14/06/2022,441,453,434,437.1,-2.43,59035
AKPL,13/06/2022,451,455,445,448,0.22,21514
