 Date,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
9/18/2024,240,247,238.6,131212,3.17E+07,463
9/16/2024,240.6,248,240.1,59798,1.45E+07,283
9/15/2024,247,258,246.3,107738,2.71E+07,485
9/12/2024,251.3,251.4,242.2,69379,1.72E+07,388
9/11/2024,245.9,249,242.2,67152,1.64E+07,266
9/10/2024,246,255,244,92420,2.29E+07,448
9/9/2024,249.8,254,242.5,122679,3.01E+07,520
9/8/2024,251,265.9,250,113480,2.87E+07,521
9/5/2024,258,266.3,248,148034,3.79E+07,486
9/4/2024,257,275,246.9,157253,4.06E+07,620
9/3/2024,270,280,265.1,105689,2.88E+07,530
9/2/2024,272,273.3,250.1,205405,5.39E+07,817
9/1/2024,254.1,271.3,254,126122,3.27E+07,599
8/29/2024,261,272,256,101801,2.66E+07,610
8/28/2024,267,283,261.7,173325,4.67E+07,776
8/27/2024,267,281,266.1,306650,8.32E+07,1314
8/25/2024,286.3,303,285,265181,7.66E+07,1061
8/22/2024,300,310,294.5,265872,7.98E+07,1057
8/21/2024,302,310,288,425259,1.26E+08,1500
8/18/2024,298.8,312.1,289,638621,1.94E+08,2130
8/15/2024,289,293.5,266.9,584117,1.67E+08,2069
8/14/2024,266.9,267,258,158425,4.16E+07,705
8/13/2024,266,271,261,186361,4.96E+07,866
8/12/2024,266.1,272.3,262,251891,6.76E+07,1025
8/11/2024,257.6,260,242,260303,6.56E+07,1056
8/8/2024,242,251.9,241,138115,3.38E+07,661
8/7/2024,243,247,233,143516,3.44E+07,773
8/6/2024,236.3,260,235.5,275813,6.81E+07,1338
8/5/2024,260,272,257.8,299670,7.84E+07,1147
8/1/2024,266,276,264,169849,4.57E+07,740
7/31/2024,272,276,266,185777,5.06E+07,846
7/30/2024,270,276,260,265681,7.14E+07,1174
7/29/2024,276,299,273,403882,1.15E+08,1755
7/28/2024,278.8,278.8,258.5,401317,1.11E+08,1120
7/25/2024,253.5,254.5,241,257789,6.48E+07,735
7/24/2024,249,259,244.7,177199,4.42E+07,767
7/23/2024,254,255,245.1,255069,6.38E+07,902
7/22/2024,252,262,244,385243,9.67E+07,1367
7/21/2024,248.9,248.9,225.4,340632,8.06E+07,1180
7/18/2024,226.3,232.1,212.2,330463,7.40E+07,1051
7/17/2024,211,213.4,207.8,92701,1.95E+07,411
7/16/2024,209.5,210.1,203,63008,1.30E+07,313
7/15/2024,204.2,215.2,203.9,101206,2.10E+07,465
7/14/2024,211,212,203,81778,1.70E+07,477
7/11/2024,201.6,201.7,191,95935,1.91E+07,520
7/10/2024,191,191,186.4,61431,1.16E+07,244
7/9/2024,186.1,188.5,185,46386,8665535.1,116
7/8/2024,186,188,184.2,24265,4515518.5,165
7/7/2024,186.4,189.5,184.1,50352,9411033.6,252
7/4/2024,185,189.5,184.5,36619,6838375.8,223
7/3/2024,186,186.5,179.4,49082,8981384.1,181
7/2/2024,183,195,180.5,54143,1.01E+07,228
7/1/2024,180,180.5,172.1,40875,7169377,149
6/30/2024,174,175,173,13947,2420514.3,105
6/27/2024,174,175.5,173,22614,3948271,89
