Symbol,Date,Open,High,Low,Close,Percent Change,Volume
ILI,9/18/2024,496,504,478.3,485,-0.0041,"38,610.00"
ILI,9/16/2024,500,500,485,487,-0.0162,"45,347.00"
ILI,9/15/2024,512.6,512.6,492,495,-0.0151,"58,684.00"
ILI,9/12/2024,490.5,505,486.2,502.6,0.0247,"48,484.00"
ILI,9/11/2024,493,505,490,490.5,-0.019,"43,785.00"
ILI,9/10/2024,509.3,509.3,495,500,0.001,"54,992.00"
ILI,9/9/2024,506,514,498,499.5,-0.0212,"64,116.00"
ILI,9/8/2024,513,523.2,510,510.3,-0.0053,"43,591.00"
ILI,9/5/2024,505.1,519.9,505.1,513,-0.0039,"52,153.00"
ILI,9/4/2024,540,542,512,515,-0.0445,"87,690.00"
ILI,9/3/2024,530,547,528,539,0.0247,"119,725.00"
ILI,9/2/2024,503,526,493.5,526,0.0447,"82,631.00"
ILI,9/1/2024,512,526,500,503.5,-0.0223,"96,477.00"
ILI,8/29/2024,528,529.3,510.5,515,-0.0077,"86,343.00"
ILI,8/28/2024,515,537,515,519,0.0033,"112,108.00"
ILI,8/27/2024,546,549,515.1,517.3,-0.0577,"161,994.00"
ILI,8/25/2024,569,574,549,549,-0.0351,"127,067.00"
ILI,8/22/2024,567,575,563,569,0.0035,"122,440.00"
ILI,8/21/2024,575,584,566,567,-0.0105,"122,994.00"
ILI,8/18/2024,580,597,570,573,-0.0124,"244,725.00"
ILI,8/15/2024,586,599,580,580.2,-0.0074,"193,473.00"
ILI,8/14/2024,595.5,606,570,584.5,0.0009,"200,697.00"
ILI,8/13/2024,600,602,571,584,-0.0168,"237,031.00"
ILI,8/12/2024,568.1,598.7,560,594,0.0664,"231,206.00"
ILI,8/11/2024,535,559.1,535,557,0.0315,"166,215.00"
ILI,8/8/2024,546,560,536,540,-0.011,"108,750.00"
ILI,8/7/2024,521.6,548,512,546,0.0468,"126,086.00"
ILI,8/6/2024,565,565,520,521.6,-0.0727,"162,390.00"
ILI,8/5/2024,560,570,553.7,562.5,0.009,"135,792.00"
ILI,8/1/2024,535,576,535,557.5,0.044,"205,682.00"
ILI,7/31/2024,520,536,520,534,0.0329,"137,537.00"
ILI,7/30/2024,508,525.3,500.1,517,0.0139,"97,569.00"
ILI,7/29/2024,525,535,509.9,509.9,-0.0288,"99,097.00"
ILI,7/28/2024,521.2,542,510,525,0.0274,"116,725.00"
ILI,7/25/2024,510,520,500,511,0.0059,"101,036.00"
ILI,7/24/2024,511,525,500,508,-0.0039,"138,092.00"
ILI,7/23/2024,491,513,483,510,0.0434,"123,772.00"
ILI,7/22/2024,491,494.9,480,488.8,-0.0006,"80,876.00"
ILI,7/21/2024,485,493,478,489.1,0.0089,"101,903.00"
ILI,7/18/2024,478,493,475,484.8,0.0185,"158,020.00"
ILI,7/17/2024,466,479,466,476,0.0259,"80,965.00"
ILI,7/16/2024,451,465,450,464,0.0243,"44,588.00"
ILI,7/15/2024,472,472,450,453,-0.0216,"64,337.00"
ILI,7/14/2024,458,475,457,463,0.031,"59,154.00"
ILI,7/11/2024,445,451.9,443,449.1,0.0207,"53,396.00"
ILI,7/10/2024,446,446,438,440,0.0057,"21,743.00"
ILI,7/9/2024,430,444,430,437.5,0.003,"15,267.00"
ILI,7/8/2024,445,449,435,436.2,-0.0176,"34,406.00"
ILI,7/7/2024,439.5,448.7,433.2,444,0.023,"59,031.00"
ILI,7/4/2024,420,437.4,420,434,0.0292,"47,546.00"
ILI,7/3/2024,420,425,420,421.7,-0.0101,"10,580.00"
ILI,7/2/2024,423.8,441,423,426,0.0253,"29,807.00"
ILI,7/1/2024,413.1,417,412.5,415.5,0.001,"18,771.00"
ILI,6/30/2024,417.1,418,414.7,415.1,-0.005,"24,867.00"
ILI,6/27/2024,421,421,415.4,417.2,-0.0111,"14,978.00"
ILI,6/26/2024,420,423,419.9,421.9,-0.0026,"15,373.00"
ILI,6/25/2024,420,425,418.4,423,0.0048,"16,081.00"
ILI,6/24/2024,421.5,425,419,421,-0.0082,"29,240.00"
ILI,6/23/2024,425.1,427,423.5,424.5,-0.007,"26,198.00"
ILI,6/20/2024,427.4,430,427,427.5,-0.0081,"15,945.00"
ILI,6/19/2024,429,433.9,427.3,431,0.0047,"15,052.00"
ILI,6/18/2024,428.2,433.7,428,429,-0.0023,"18,854.00"
ILI,6/16/2024,440,440,430,430,-0.0097,"24,901.00"
ILI,6/13/2024,431,439.9,431,434.2,-0.0087,"18,280.00"
ILI,6/12/2024,444,445.9,438,438,0.0002,"21,838.00"
ILI,6/11/2024,421,439.7,421,437.9,0.0205,"26,984.00"
ILI,6/10/2024,428.6,433.4,427,429.1,0.0012,"24,269.00"
ILI,6/9/2024,433,434,428,428.6,-0.0102,"28,353.00"
ILI,6/6/2024,433.8,439,431,433,-0.0018,"21,354.00"
ILI,6/5/2024,428,437,428,433.8,-0.0053,"14,390.00"
ILI,6/4/2024,432.1,440,432.1,436.1,0.0072,"22,340.00"
ILI,6/3/2024,437,440,432.1,433,-0.0071,"22,021.00"
ILI,6/2/2024,432,443,432,436.1,-0.0011,"26,453.00"
