Symbol,Date,Open,High,Low,Close,Percent Change,Volume
HBL,9/18/2024,244,247,238.6,240,-0.0025,"131,212.00"
HBL,9/16/2024,245,248,240.1,240.6,-0.0259,"59,798.00"
HBL,9/15/2024,253,258,246.3,247,-0.0171,"107,738.00"
HBL,9/12/2024,250.8,251.4,242.2,251.3,0.022,"69,379.00"
HBL,9/11/2024,246,249,242.2,245.9,-0.0004,"67,152.00"
HBL,9/10/2024,250,255,244,246,-0.0152,"92,420.00"
HBL,9/9/2024,251,254,242.5,249.8,-0.0048,"122,679.00"
HBL,9/8/2024,263.1,265.9,250,251,-0.0271,"113,480.00"
HBL,9/5/2024,259.5,266.3,248,258,0.0039,"148,034.00"
HBL,9/4/2024,275,275,246.9,257,-0.0481,"157,253.00"
HBL,9/3/2024,275,280,265.1,270,-0.0074,"105,689.00"
HBL,9/2/2024,259,273.3,250.1,272,0.0704,"205,405.00"
HBL,9/1/2024,256,271.3,254,254.1,-0.0264,"126,122.00"
HBL,8/29/2024,272,272,256,261,-0.0225,"101,801.00"
HBL,8/28/2024,272,283,261.7,267,0,"173,325.00"
HBL,8/27/2024,281,281,266.1,267,-0.0674,"306,650.00"
HBL,8/25/2024,303,303,285,286.3,-0.0457,"265,181.00"
HBL,8/22/2024,307,310,294.5,300,-0.0066,"265,872.00"
HBL,8/21/2024,304,310,288,302,0.0107,"425,259.00"
HBL,8/18/2024,289,312.1,289,298.8,0.0339,"638,621.00"
HBL,8/15/2024,266.9,293.5,266.9,289,0.0828,"584,117.00"
HBL,8/14/2024,266,267,258,266.9,0.0034,"158,425.00"
HBL,8/13/2024,270,271,261,266,-0.0004,"186,361.00"
HBL,8/12/2024,262,272.3,262,266.1,0.033,"251,891.00"
HBL,8/11/2024,246,260,242,257.6,0.0645,"260,303.00"
HBL,8/8/2024,247,251.9,241,242,-0.0041,"138,115.00"
HBL,8/7/2024,240,247,233,243,0.0284,"143,516.00"
HBL,8/6/2024,259.9,260,235.5,236.3,-0.0912,"275,813.00"
HBL,8/5/2024,270,272,257.8,260,-0.0226,"299,670.00"
HBL,8/1/2024,275,276,264,266,-0.0221,"169,849.00"
HBL,7/31/2024,269.8,276,266,272,0.0074,"185,777.00"
HBL,7/30/2024,275,276,260,270,-0.0217,"265,681.00"
HBL,7/29/2024,284.3,299,273,276,-0.01,"403,882.00"
HBL,7/28/2024,258.5,278.8,258.5,278.8,0.0998,"401,317.00"
HBL,7/25/2024,250,254.5,241,253.5,0.0181,"257,789.00"
HBL,7/24/2024,259,259,244.7,249,-0.0197,"177,199.00"
HBL,7/23/2024,250,255,245.1,254,0.0079,"255,069.00"
HBL,7/22/2024,253,262,244,252,0.0125,"385,243.00"
HBL,7/21/2024,230,248.9,225.4,248.9,0.0999,"340,632.00"
HBL,7/18/2024,215,232.1,212.2,226.3,0.0725,"330,463.00"
HBL,7/17/2024,213,213.4,207.8,211,0.0072,"92,701.00"
HBL,7/16/2024,204,210.1,203,209.5,0.026,"63,008.00"
HBL,7/15/2024,215.2,215.2,203.9,204.2,-0.0322,"101,206.00"
HBL,7/14/2024,205.6,212,203,211,0.0466,"81,778.00"
HBL,7/11/2024,194.8,201.7,191,201.6,0.0555,"95,935.00"
HBL,7/10/2024,189.8,191,186.4,191,0.0263,"61,431.00"
HBL,7/9/2024,185,188.5,185,186.1,0.0005,"46,386.00"
HBL,7/8/2024,188,188,184.2,186,-0.0021,"24,265.00"
HBL,7/7/2024,188.7,189.5,184.1,186.4,0.0076,"50,352.00"
HBL,7/4/2024,188,189.5,184.5,185,-0.0054,"36,619.00"
HBL,7/3/2024,184,186.5,179.4,186,0.0164,"49,082.00"
HBL,7/2/2024,183.6,195,180.5,183,0.0167,"54,143.00"
HBL,7/1/2024,173,180.5,172.1,180,0.0345,"40,875.00"
HBL,6/30/2024,175,175,173,174,0,"13,947.00"
HBL,6/27/2024,174.2,175.5,173,174,-0.0011,"22,614.00"
HBL,6/26/2024,174,176.4,173,174.2,-0.0029,"31,909.00"
HBL,6/25/2024,173,175.4,172.1,174.7,0.0098,"23,123.00"
HBL,6/24/2024,175.4,177,172.3,173,-0.0198,"62,246.00"
HBL,6/23/2024,179,179,174.1,176.5,-0.0056,"28,415.00"
HBL,6/20/2024,184.6,184.6,177,177.5,-0.0193,"33,240.00"
HBL,6/19/2024,184.9,185,180,181,-0.0055,"16,006.00"
HBL,6/18/2024,181.3,183.4,180.5,182,-0.0109,"8,236.00"
HBL,6/16/2024,182,186.3,182,184,0,"17,657.00"
HBL,6/13/2024,183,184.4,181.3,184,0.0055,"32,660.00"
HBL,6/12/2024,186.5,192,183,183,0,"41,677.00"
HBL,6/11/2024,185.9,187.6,180.1,183,0.0038,"28,684.00"
HBL,6/10/2024,185,185,181.3,182.3,0.0016,"27,776.00"
HBL,6/9/2024,191.2,191.2,182,182,-0.0293,"30,635.00"
HBL,6/6/2024,190,190,185,187.5,-0.0106,"27,461.00"
HBL,6/5/2024,190.1,190.7,188.6,189.5,-0.0079,"15,703.00"
HBL,6/4/2024,193.5,193.5,190,191,-0.0119,"15,110.00"
HBL,6/3/2024,197.1,197.1,191,193.3,0,"12,229.00"
HBL,6/2/2024,189.2,195,189,193.3,0.0089,"19,445.00"
HBL,5/30/2024,194.9,195.9,191.6,191.6,-0.0159,"29,396.00"
HBL,5/29/2024,199.9,211,194.7,194.7,-0.0066,"92,492.00"
HBL,5/27/2024,198.9,199,192.1,196,-0.0101,"22,745.00"
HBL,5/26/2024,205,205,195.5,198,-0.0193,"70,759.00"
HBL,5/22/2024,190.2,203.9,190,201.9,0.0461,"96,061.00"
HBL,5/21/2024,194.8,196.4,188.2,193,0.0105,"38,869.00"
HBL,5/20/2024,181,195.5,180,191,0.0552,"80,489.00"
HBL,5/19/2024,179.1,182,175.7,181,0.0308,"31,768.00"
HBL,5/16/2024,181.5,181.5,175.1,175.6,-0.0135,"43,319.00"
HBL,5/15/2024,180,185.6,178,178,-0.0111,"15,048.00"
